Type,Tipo
No risk activity found.,No se encontró actividad de riesgo.
No sales activity found for this period.,No se encontró actividad de ventas en este periodo.
No slow moving items.,No hay artículos de lento movimiento.
No staff sales activity found.,No se encontró actividad de ventas del personal.
No stock movement for this period.,No hay movimientos de stock en este periodo.
No submitted cash movements in this shift.,No hay movimientos de efectivo enviados en este turno.
No supplier purchases found in this month.,No se encontraron compras a proveedores en este mes.
No suppliers found for this period.,No se encontraron proveedores para este periodo.
No tax head breakdown found.,No se encontró desglose por concepto de impuesto.
No top items found for this location.,No se encontraron artículos destacados para esta ubicación.
No unallocated payments were available for reconciliation.,No había pagos sin asignar disponibles para conciliación.
No unpaid invoices,No hay facturas sin pagar
No valid batches available in {0} for {1}.,No hay lotes válidos disponibles en {0} para {1}.
No variant data found.,No se encontraron datos de variantes.
No week-wise sales trend found.,No se encontró tendencia de ventas por semana.
No.,No.
Nobile Number,Número de teléfono
Offline Invoices,Facturas fuera de línea
Only cancelled POS Cash Movement records can be deleted.,Solo se pueden eliminar los registros de Movimiento de Efectivo POS cancelados.
Only cancelled cash movements can be deleted.,Solo se pueden eliminar los movimientos de efectivo cancelados.
Only submitted cash movements can be cancelled.,Solo se pueden cancelar los movimientos de efectivo enviados.
Only submitted or cancelled cash movements can be duplicated.,Solo se pueden duplicar los movimientos de efectivo enviados o cancelados.
Only the shift owner can create cash movement entries.,Solo el dueño del turno puede crear movimientos de efectivo.
Open this screen from POS Menu -> Open Customer Display.,Abre esta pantalla desde Menú POS -> Abrir pantalla del cliente.
OpenCV Off,OpenCV desactivado
OpenCV On,OpenCV activado
OpenCV image processing enabled - Enhanced barcode detection,Procesamiento de imagen OpenCV habilitado - Detección de códigos de barras mejorada
OpenCV image processing unavailable on this device,Procesamiento de imagen OpenCV no disponible en este dispositivo
OpenCV processing disabled,Procesamiento OpenCV deshabilitado
Out of Stock Items,Artículos agotados
Outstanding,Pendiente
Outstanding Credit by Currency,Crédito pendiente por moneda
Overpayment Change,Cambio por sobrepago
PDF,PDF
POS,POS
POS Awesome,POS Awesome
POS Awesome Payments is not enabled for this POS Profile,POS Awesome Payments no está habilitado para este perfil de POS
POS Awesome credit redemption for Sales Invoice {0},Canje de crédito de POS Awesome para la factura de venta {0}
POS Cash Movement,POS Cash Movement
POS Offer is disable.,La oferta de POS está deshabilitada.
POS Opening Shift is required,Se requiere un turno de apertura de POS
POS Opening Shift is required to compute the overview.,Se requiere un turno de apertura de POS para calcular el resumen.
POS Opening Shift is required.,Se requiere un turno de apertura de POS.
POS Opening Shift must be submitted and open.,El turno de apertura de POS debe estar enviado y abierto.
POS Opening Shift not found.,Turno de apertura de POS no encontrado.
POS Opening Shift {0} is not for the same POS Profile,El turno de apertura de POS {0} no es del mismo perfil de POS
POS Opening Shift {0} is not for the same company,El turno de apertura de POS {0} no es de la misma empresa
POS Profile,POS Profile
POS Profile company must match active POS Opening Shift company.,La empresa del perfil de POS debe coincidir con la empresa del turno de apertura de POS activo.
POS Profile is required,Se requiere un perfil de POS
POS Profile is required to create purchase documents.,Se requiere un perfil de POS para crear documentos de compra.
POS Profile is required.,Se requiere un perfil de POS.
POS Profile must match the active POS Opening Shift profile.,El perfil de POS debe coincidir con el perfil del turno de apertura de POS activo.
POS Profile must match the selected POS Opening Shift profile.,El perfil de POS debe coincidir con el perfil del turno de apertura de POS seleccionado.
POS Profile {0} does not belong to company {1}.,El perfil POS {0} no pertenece a la empresa {1}.
POS Profile {0} does not exist.,El perfil POS {0} no existe.
POS Shift {0} is not open,El turno POS {0} no está abierto
POS lock is not available yet,El bloqueo POS aún no está disponible
POS profile data is missing or invalid.,Los datos del perfil POS faltan o son inválidos.
Paid,Pagado
Paid change cannot be greater than total change!,¡El cambio pagado no puede ser mayor que el cambio total!
Payment Entry {0} has no unallocated amount remaining.,La entrada de pago {0} no tiene monto sin asignar restante.
Payment ID,ID de Pago
Payment Methods,Métodos de Pago
Payment Reconciliation,Conciliación de Pagos
Payment saved offline,Pago guardado sin conexión
Payment {0} is already fully allocated,El pago {0} ya está totalmente asignado
Payments,Pagos
Pending,Pendiente
Pending Exposure,Exposición Pendiente
Pending Invoices,Facturas Pendientes
Pending Ratio,Ratio Pendiente
Please allow camera access to scan codes,Por favor permita acceso a la cámara para escanear códigos
Please make a payment or select an payment,Por favor realice un pago o seleccione un método de pago
Please select Coupon Code Based POS Offer.,Por favor seleccione la oferta POS basada en código de cupón.
Please select a customer,Por favor seleccione un cliente
Please select a customer first,Por favor seleccione primero un cliente
Please select a valid movement type.,Por favor seleccione un tipo de movimiento válido.
Please select an invoice,Por favor seleccione una factura
Please select company before reconciling.,Por favor seleccione la empresa antes de conciliar.
Please select the correct POS Offer with the same company.,Por favor seleccione la oferta POS correcta de la misma empresa.
Position the QR code or barcode within the scanning area,Posicione el código QR o de barras en el área de escaneo
Posting Date,Fecha de Publicación
Pricing & Discounts,Precios y Descuentos
Print Draft,Imprimir Borrador
Processing Payment,Procesando Pago
Profile switching is not available yet,El cambio de perfil aún no está disponible
Profit: Invoice Item Estimate,Ganancia: Estimación de Artículo de Factura
Profit: Stock Ledger (COGS),Ganancia: Libro de Stock (COGS)
Prorated return discount,Descuento prorrateado de devolución
Rate,Tarifa
Ready!,¡Listo!
Reconcile payment methods and close shift,Conciliar métodos de pago y cerrar turno
Reload Items,Recargar Artículos
Remarks are required for cash movement in this POS Profile.,Se requieren notas para movimiento de efectivo en este perfil POS.
Remove,Eliminar
Request,Solicitar
Required columns cannot be hidden,Las columnas requeridas no pueden ocultarse
Retry,Reintentar
Return without Invoice,Devolver sin Factura
Rows,Filas
Sales Person not found,Vendedor no encontrado
Sales Return,Devolución de Ventas
Sales Summary,Resumen de Ventas
Save & Clear,Guardar y Limpiar
Scale barcode detected. Quantity here is the number of labels to print.,Código de barras de escala detectado. La cantidad aquí es el número de etiquetas a imprimir.
Scan QR Code/Barcode,Escanear Código QR/Código de barras
Scan with Camera,Escanear con Cámara
Scope: All Profiles,Alcance: Todos los Perfiles
Scope: Current Profile,Alcance: Perfil Actual
Scope: Specific Profile,Alcance: Perfil Específico
Search,Buscar
Search Mpesa Payments,Buscar Pagos Mpesa
Select,Seleccionar
Select Columns to Display,Seleccionar Columnas a Mostrar
Select Payment,Seleccionar Pago
Select S.O,Seleccionar O.S.
Select Sales Orders,Seleccionar Pedidos de Venta
Open Order,Abrir pedido
Create Invoice,Facturar
Select a customer to use coupon,Seleccione un cliente para usar cupón
Selected POS Opening Shift should be open.,El turno de apertura POS seleccionado debe estar abierto.
Selected expense account is not allowed for this POS Profile.,La cuenta de gastos seleccionada no está permitida para este perfil POS.
Selected movement type is not allowed by POS Profile.,El tipo de movimiento seleccionado no está permitido por el perfil POS.
Selected source account is not allowed for this POS Profile.,La cuenta de origen seleccionada no está permitida para este perfil POS.
Serial Numbers,Números de Serie
Server Health,Estado del Servidor
Server Metrics,Métricas del Servidor
Settings,Configuración
Setup complete!,¡Configuración completa!
Shows the distribution of invoices per currency,Muestra la distribución de facturas por moneda
"Sorry, this coupon code cannot be used by this company","Lo siento, este código de cupón no puede ser usado por esta empresa"
"Sorry, this coupon code cannot be used by this customer","Lo siento, este código de cupón no puede ser usado por este cliente"
"Sorry, this coupon code is no longer valid","Lo siento, este código de cupón ya no es válido"
"Sorry, this coupon code not exists","Lo siento, este código de cupón no existe"
"Sorry, {0} have used this coupon before","Lo siento, {0} ha usado este cupón antes"
Source Cash Account (Optional Override),Cuenta de Efectivo de Origen (Anulación Opcional)
Source account must be a Cash account.,La cuenta de origen debe ser una cuenta de efectivo.
Source account must belong to the selected company.,La cuenta de origen debe pertenecer a la empresa seleccionada.
Source account override is disabled for this POS Profile.,La anulación de cuenta de origen está deshabilitada para este perfil POS.
Source and target accounts are required.,Se requieren cuentas de origen y destino.
Source and target accounts cannot be the same for cash deposit.,Las cuentas de origen y destino no pueden ser iguales para depósito en efectivo.
Staff / Cashier Performance Report,Informe de Rendimiento de Personal/Cajero
Status,Estado
Status must be one of {0},El estado debe ser uno de {0}
Stock Movement Report,Informe de Movimiento de Stock
Submit & Print,Enviar e Imprimir
Supplier Purchase Summary,Resumen de Compra de Proveedor
Supplier name is required.,Se requiere nombre de proveedor.
Suppliers not found,Proveedores no encontrados
Switch Camera,Cambiar Cámara
Switched to: ,Cambiado a: 
System Information,Información del Sistema
Target account must belong to the selected company.,La cuenta de destino debe pertenecer a la empresa seleccionada.
Taxes,Impuestos
Territory not found,Territorio no encontrado
The app stores data locally for offline use. This is called cache.,La aplicación almacéna datos localmente para uso sin conexión. Esto se llama caché.
These invoices will be synced when connection is restored,Estas facturas se sincronizarán cuando se restablezca la conexión
This coupon already used !,¡Este cupón ya ha sido usado!
This invoice {0} cannot be deleted,Esta factura {0} no puede ser eliminada
This is an item template. Please choose a variant.,Esta es una plantilla de artículo. Por favor elija una variante.
Time,Tiempo
Tip: Clear cache regularly to free up space and keep the app fast.,Consejo: Limpie la caché regularmente para liberar espacio y mantener la aplicación rápida.
Tip: Close unused tabs or apps to reduce lag.,Consejo: Cierre pestañas o aplicaciónes no utilizadas para reducir el retraso.
Tip: Monitor slow queries and table size for optimal performance.,Consejo: Monitoree consultas lentas y tamaño de tablas para un rendimiento óptimo.
Top Charge Head,Principal Cabecera de Cargo
Top Discount,Mayor Descuento
Top Pending,Mayor Pendiente
Top Suppliers by Spend,Principales Proveedores por Gasto
Top Tables,Principales Mesas
Top Tax Head,Principal Cabecera de Impuesto
Top Variant,Principal Variante
Total,Total
Total Invoices,Total de Facturas
Total Quantity,Cantidad Total
Total Size,Tamaño Total
UOM,UdM
UOM not found,UdM no encontrada
Unallocated,Sin Asignar
Update Customer,Actualizar Cliente
Updates automatically,Se actualiza automáticamente
Usage,Uso
Usage Stats,Estadísticas de Uso
Use date range to search for older invoices,Use rango de fechas para buscar facturas más antiguas
Using cached customer balance,Usando saldo de cliente en caché
Verify closing amounts for each payment method,Verificar montos de cierre para cada método de pago
Warehouse,Almacén
Week Δ,Semana Δ
Yes,Sí
add,agregar
localStorage,localStorage
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Actualización de stock: {0} tiene {1} disponible. Agregar {2} llevará el stock por debajo de cero.
{0} has only {1} in stock. You requested {2}. Adjust quantity or restock.,{0} solo tiene {1} en stock. Solicitó {2}. Ajuste la cantidad o reabastezca.
Account Head,Cuenta Principal
Accounts Manager,Gerente de Cuentas
Accounts User,Usuario de Cuentas
Add/Edit Coupon Conditions,Agregar/Editar Condiciones del Cupón
Administrator,Administrador
All Synced,Todo Sincronizado
Allow Create Sales Order,Permitir Crear Pedido de Venta
Allow Credit Sale,Permitir Venta a Crédito
Allow Delete Offline Invoice,Permitir Eliminar Factura Offline
Allow Partial Payment,Permitir Pago Parcial
Allow Price List Rate Change,Permitir Cambio de Tarifa de Lista
Allow Return,Permitir Devolución
Allow Submissions in background job,Permitir Envíos en Trabajo en Segundo Plano
Allow User to Edit Item Discount,Permitir Usuario Editar Descuento de Artículo
Allow user to edit Additional Discount,Permitir Usuario Editar Descuento Adicional
Allow user to edit Rate,Permitir Usuario Editar Tarifa
Always fetch items from server,Siempre Obtener Artículos del Servidor
Amended From,Enmendado De
Apply Customer Discount,Aplicar Descuento de Cliente
Apply For,Aplicar Para
Apply Rule On Brand,Aplicar Regla en Marca
Apply Rule On Item Code,Aplicar Regla en Código de Artículo
Apply Rule On Item Group,Aplicar Regla en Grupo de Artículo
Apply Type,Tipo de Aplicación
Auto Apply,Aplicar Automáticamente
Auto Delete Draft Invoice,Auto Eliminar Factura Borrador
Auto Set Batch,Auto Establecer Lote
Available,Disponible
Balance will be updated when connection is restored,El saldo se actualizará cuando se restaure la conexión
Brand,Marca
CPU Cores,Núcleos de CPU
Calculating,Calculando
Camera access aborted.,Acceso a cámara abortado.
Camera access is required to scan barcodes.,Se requiere acceso a la cámara para escanear códigos de barras.
Camera permission denied. Please allow camera access in your browser settings.,Permiso de cámara denegado. Por favor permita el acceso a la cámara en la configuración del navegador.
Cannot Save Offline Invoice,No se puede guardar factura offline
Cannot Save Offline Invoice:,No se puede guardar factura offline:
Cannot Save Offline Payment,No se puede guardar pago offline
Cannot Save Offline Payment:,No se puede guardar pago offline:
Cash Mode of Payment,Modo de Pago en Efectivo
Cashier,Cajero
Client CPU Lag,Retraso de CPU del Cliente
Client Memory Usage,Uso de Memoria del Cliente
Closed,Cerrado
Closing,Cierre
Connected to Server,Conectado al Servidor
Connections,Conexiones
Cost Center is required,Se requiere Centro de Costos
Create Only Sales Order,Crear Solo Pedidos de Venta
Credit Change,Cambio de Crédito
Current Event Loop Lag,Retraso Actual del Bucle de Eventos
Customer ID,ID de Cliente
Decrease,Disminuir
Default Loyalty Program,Programa de Lealtad Predeterminado
Delivery Date,Fecha de Entrega
Details,Detalles
Detecting formats,Detectando formatos
Device Memory,Memoria del Dispositivo
Disable,Desactivar
Discount Type,Tipo de Descuento
Email Id,ID de Correo
Error accessing camera,Error al acceder a la cámara
Error adding offer to items,Error al agregar oferta a artículos
Error deleting offer from items,Error al eliminar oferta de artículos
Error loading currencies,Error al cargar monedas
Error removing price offer,Error al eliminar oferta de precio
Error submitting invoice,Error al enviar factura
Error submitting invoice No response from server,Error al enviar factura Sin respuesta del servidor
Error submitting invoice:,Error al enviar factura:
Error toggling item details,Error al alternar detalles del artículo
Failed to load items. Please try again.,Error al cargar artículos. Por favor intente de nuevo.
Fixing payment amounts for return invoice,Corregir montos de pago para factura de devolución
For POS Closing Shift Payment Reconciliation,Para Conciliación de Pagos al Cerrar Turno POS
Gender,Género
Give Item Row ID,ID de Fila del Artículo a Dar
Give Product,Producto a Dar
Given Quantity,Cantidad Dada
Go Online/Offline,Conectar/Desconectar
Hide Close Shift,Ocultar Cierre de Turno
Hide Unavailable Items,Ocultar Artículos No Disponibles
Hide Variants Items,Ocultar Variantes de Artículos
Increase,Aumentar
Invalid closing amount,Monto de cierre inválido
Is Offer,Es Oferta
Is Offer Replace For item Row ID,Es Oferta Reemplazo para ID de Fila de Artículo
It is best not to use more than four numbers,Es mejor no usar más de cuatro números
Item Price,Precio del Artículo
Item Rate Should Less Then,La Tarifa del Artículo Debe Ser Menor Que
Item price updated,Precio del artículo actualizado
LOAD SALE,CARGAR VENTA
Light/Dark Mode,Modo Claro/Oscuro
Linked Invoices,Facturas Vinculadas
List Rate,Lista de Tarifas
Loading,Cargando
Loading cache,Cargando caché
Loading database stats,Cargando estadísticas de base de datos
Loading server CPU/memory usage,Cargando uso de CPU/memoria del servidor
Loyalty Point,Punto de Lealtad
Loyalty Point Scheme,Programa de Puntos de Lealtad
MB,MB
Manage your offline transactions,Administrar transacciones offline
Max Amount,Monto Máximo
Max Discount Percentage Allowed,Porcentaje Máximo de Descuento Permitido
Max Quantity,Cantidad Máxima
Min Amount,Monto Mínimo
Min Quantity,Cantidad Mínima
Modes of Payment,Modos de Pago
Multiple Items Found,Múltiples Artículos Encontrados
New Price List Rate,Nueva Tarifa de Lista de Precios
No Item has this barcode,Ningún artículo tiene este código de barras
No camera found on this device.,No se encontró cámara en este dispositivo.
Offer Name,Nombre de la Oferta
Open,Abierto
Opening Balance Details,Detalles de Saldo de Apertura
POS Awesome Advance Settings,Configuración Avanzada de POS Awesome
POS Awesome Settings,Configuración de POS Awesome
POS Closing Shift,Cierre de Turno POS
POS Closing Shift Detail,Detalle de Cierre de Turno POS
POS Closing Shift Taxes,Impuestos de Cierre de Turno POS
POS Closing Shift {} against {} between selected period,Cierre de Turno POS {} contra {} entre el período seleccionado
POS Offer,Oferta POS
POS Offer Detail,Detalle de Oferta POS
POS Offers Detail,Detalle de Ofertas POS
POS Opening Shift,Apertura de Turno POS
POS Opening Shift Detail,Detalle de Apertura de Turno POS
POS Profile {} does not belongs to company {},El Perfil POS {} no pertenece a la empresa {}
POS Shift,Turno POS
POS Transactions,Transacciones POS
Paid Change,Cambio Pagado
Payment Request took too long to respond. Please try requesting for payment again,La solicitud de pago tardó demasiado en responder. Por favor intente de nuevo.
Payment name not found. Cannot open print view.,Nombre de pago no encontrado. No se puede abrir vista de impresión.
Payment request failed,Solicitud de pago fallida
Payment submitted but print function could not be executed. Payment name not found.,Pago enviado pero función de impresión no pudo ejecutarse. Nombre de pago no encontrado.
Peak,Máximo
Peak Memory,Máximo de Memoria
Peak Server,Máximo de Servidor
Period End Date,Fecha de Fin de Período
Period Start Date,Fecha de Inicio de Período
Please configure a POS Profile first,Por favor configure un Perfil POS primero
Please request phone payment or use another payment method,Por favor solicite pago por teléfono o use otro método de pago
Please set the customer's mobile number,Por favor establezca el número de móvil del cliente
Price,Precio
Price Discount Scheme,Esquema de Descuento de Precio
Printed,Impreso
Product Discount Scheme,Esquema de Descuento de Producto
Promo Type,Tipo de Promoción
Qualifying Transaction / Item,Transacción / Artículo Calificador
Quantity and Amount Conditions,Condiciones de Cantidad y Monto
Quick Actions,Acciones Rápidas
Referral Code,Código de Referencia
Replace Cheapest Item,Reemplazar Artículo Más Barato
Replace Same Item,Reemplazar Mismo Artículo
Rounded Total,Total Redondeado
Row ID,ID de Fila
STOCK UOM,UdM de Stock
Sales Invoice,Factura de Venta
Sales Invoice Reference,Referencia de Factura de Venta
Sales Manager,Gerente de Ventas
Sales Master Manager,Gerente Maestro de Ventas
Sales User,Usuario de Ventas
Search by Serial Number,Buscar por Número Serial
Secure context (HTTPS) required for camera access.,Se requiere contexto seguro (HTTPS) para acceso a cámara.
Send invoice to submit after printing,Enviar factura para enviar después de imprimir
Server CPU Usage,Uso de CPU del Servidor
Server Memory Usage,Uso de Memoria del Servidor
Server Uptime,Tiempo de Actividad del Servidor
Set Posting Date,Establecer Fecha de Publicación
Show Template Items,Mostrar Artículos de Plantilla
Size,Tamaño
Slow Queries,Consultas Lentas
Successfully scanned,Escaneado exitosamente
Switched to,Cambiado a
Switched to:,Cambiado a:
Sync All,Sincronizar Todo
Synced,Sincronizado
System Manager,Gerente del Sistema
Tables,Tablas
Taking longer than expected...,Tomando más tiempo de lo esperado...
Tax ID,ID de Impuesto
Title,Título
To Sync,Para Sincronizar
Total Mpesa,Total Mpesa
Total Outstanding,Total Pendiente
Total Payments,Total Pagos
Total Selected,Total Seleccionado
Total Unallocated,Total Sin Asignar
Track recent sales,Rastrear ventas recientes
Transaction,Transacción
Update,Actualizar
Use Browser Local Storage,Usar Almacenamiento Local del Navegador
Use Cashback,Usar Efectivo de Vuelta
Used,Usado
User {} has been disabled. Please select valid user/cashier,El usuario {} ha sido deshabilitado. Por favor seleccione usuario/cajero válido
Valid From,Válido Desde
Valid Upto,Válido Hasta
Waiting for payment,Esperando pago
Warning High cache usage may affect performance.,Advertencia: Uso alto de caché puede afectar el rendimiento.
Warning High lag may indicate heavy processing or browser slowness.,Advertencia: Alto retraso puede indicar procesamiento pesado o lentitud del navegador.
his item,este artículo
ms,ms
Max Discount Percentage Allowed ,Porcentaje Máximo de Descuento Permitido
Price Discount Scheme ,Esquema de Descuento de Precio
Sorry,Lo siento
Tip Clear cache regularly to free up space and keep the app fast.,Consejo: Limpie la caché regularmente para liberar espacio y mantener la aplicación rápida.
Tip Close unused tabs or apps to reduce lag.,Consejo: Cierre pestañas o aplicaciónes no utilizadas para reducir el retraso.
Tip Monitor slow queries and table size for optimal performance.,Consejo: Monitoree consultas lentas y tamaño de tablas para un rendimiento óptimo.
Total Selected ,Total Seleccionado
No matching items in cart,No hay artículos coincidentes en el carrito
Add items from the selector to start building this sale.,Agrega artículos desde el selector para iniciar esta venta.
Try a different search term or clear the cart search.,Prueba otro término de búsqueda o limpia la búsqueda del carrito.
Active sale,Venta activa
Add new customer,Agregar nuevo cliente
Add payment to invoice,Agregar pago a la factura
Additional Discount %,Descuento adicional %
Address Line 2,Dirección línea 2
Address Name,Nombre de dirección
Balance,Saldo
Access,Acceso
Apply Gift Card,Aplicar tarjeta de regalo
Apply Redemption,Aplicar canje
Apply Stored Value,Aplicar valor almacenado
Applying,Aplicando
Applied now,Aplicado ahora
Available Actions,Acciones disponibles
Available Stored Value,Valor almacenado disponible
Auto Allocate Payment Amount,Asignar monto de pago automáticamente
Acknowledge the error to resume scanning.,Confirma el error para reanudar el escaneo.
A POS supervisor is required for this action.,Se requiere un supervisor de POS para esta acción.
Add more value to an existing gift card,Agregar más valor a una tarjeta de regalo existente
Back to {0},Volver a {0}
Barcode / QR Ready,Código de barras / QR listo
Additional Discount is the separate invoice-level discount.,El descuento adicional es el descuento a nivel de factura por separado.
Adjust the quantity or enable negative stock to continue.,Ajusta la cantidad o habilita el stock negativo para continuar.
Allowed UOM is {0},La unidad de medida permitida es {0}
Available Customer Redeemable Balance,Saldo canjeable del cliente disponible
Available customer redeemable balance,Saldo canjeable del cliente disponible
Appearance and user-level preferences for the current session.,Apariencia y preferencias de usuario para la sesión actual.
Applied Stored Value,Valor almacenado aplicado
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplica solo el monto que deseas canjear en esta factura. El saldo restante permanece en la tarjeta.
Auto reconciliation completed after payment submit.,Conciliación automática completada tras enviar el pago.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Conciliación automática completada. Asignado: {0}{1}. Pendiente restante: {0}{2}.
Awesome Dashboard is disabled for the selected POS Profile.,El Panel Awesome está deshabilitado para el perfil de POS seleccionado.
Awesome Dashboard is unavailable for the selected scope.,El Panel Awesome no está disponible para el alcance seleccionado.
Awesome Dashboard is visible only to POS supervisors.,El Panel Awesome solo es visible para los supervisores de POS.
Background processing did not finish in time.,El procesamiento en segundo plano no terminó a tiempo.
Background processing failed for Invoice {0}: {1},El procesamiento en segundo plano falló para la factura {0}: {1}
Base Paid Amt:,Monto pagado base:
Base Recv Amt:,Monto recibido base:
Base:,Base:
Batch No. Available QTY,No. de lote — Cantidad disponible
Birthday (DD-MM-YYYY),Cumpleaños (DD-MM-AAAA)
Browse,Explorar
Camera constraints not supported by your device. Trying fallback settings...,Tu dispositivo no admite estas restricciones de cámara. Probando configuración alternativa...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,La cámara está ocupada o bloqueada por otra app/pestaña. Cierra otras apps de cámara e inténtalo de nuevo.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Permiso de cámara denegado. Permite el acceso a la cámara en la configuración del navegador y recarga la página.
Camera scanner is locked until the current error is acknowledged,El escáner de cámara está bloqueado hasta confirmar el error actual
Camera started but the video stream did not load in time. Please try again.,La cámara inició pero el video no cargó a tiempo. Inténtalo de nuevo.
Cancel cash movement {0}?,¿Cancelar el movimiento de efectivo {0}?
Cannot add an item with zero or negative quantity.,No se puede agregar un artículo con cantidad cero o negativa.
Cannot redeem gift cards more than invoice total,No se pueden canjear tarjetas de regalo por más del total de la factura
Card health after the last live lookup,Estado de la tarjeta tras la última consulta en vivo
Cart,Carrito
Cash payment cannot be less than invoice total when partial payment is not allowed,El pago en efectivo no puede ser menor al total de la factura cuando no se permite pago parcial
Cashier Access,Acceso de cajero
Cashier PIN,PIN de cajero
Cashier PIN saved successfully.,PIN de cajero guardado correctamente.
Cashier identity and appearance preferences.,Identidad del cajero y preferencias de apariencia.
Categories,Categorías
Change allocation repaired,Asignación de cambio reparada
Change terminal cashier,Cambiar cajero de la terminal
Check Balance,Consultar saldo
Check balance for any card. Supervisors can issue and top up cards here.,Consulta el saldo de cualquier tarjeta. Los supervisores pueden emitir y recargar tarjetas aquí.
Check balance only,Solo consultar saldo
Check live balance before applying redemption,Consultar saldo en vivo antes de aplicar el canje
Check live balance before redemption,Consultar saldo en vivo antes del canje
Checking...,Consultando...
Cheque/Reference Date,Fecha de cheque/referencia
Cheque/Reference No,No. de cheque/referencia
Choose the cashier currently operating this terminal.,Elige el cajero que opera actualmente esta terminal.
Clear Log,Limpiar registro
Clear all barcode items,Limpiar todos los artículos de código de barras
Clear all purchase order items,Limpiar todos los artículos de la orden de compra
Close about dialog,Cerrar el diálogo Acerca de
Close cashier switcher,Cerrar el selector de cajero
Close closing shift dialog,Cerrar el diálogo de cierre de turno
Close column selector,Cerrar el selector de columnas
Close drafts dialog,Cerrar el diálogo de borradores
Close invoice details dialog,Cerrar el diálogo de detalles de factura
Close invoice management,Cerrar la gestión de facturas
Close offline invoices dialog,Cerrar el diálogo de facturas fuera de línea
Close packing list dialog,Cerrar el diálogo de lista de empaque
Close returns dialog,Cerrar el diálogo de devoluciones
Close sales orders dialog,Cerrar el diálogo de órdenes de venta
Close scanner dialog,Cerrar el diálogo del escáner
Collapse item details,Contraer detalles del artículo
Compare interpolation × density on paper,Comparar interpolación × densidad en papel
Confirm PIN,Confirmar PIN
Connection problem while submitting invoice,Problema de conexión al enviar la factura
Connection lost while charging — sale saved on this register,Se perdió la conexión al cobrar — la venta quedó guardada en esta caja
Continue selling,Seguir vendiendo
It will sync by itself as soon as the server answers.,Se sincronizará sola en cuanto el servidor responda.
Connectivity and cached prerequisite status were rechecked.,Se verificó nuevamente la conectividad y el estado de los prerrequisitos en caché.
Conversion Rate,Tipo de cambio
Could not create supplier,No se pudo crear el proveedor
Could not load sales order,No se pudo cargar la orden de venta
Could not submit M-Pesa payment,No se pudo enviar el pago M-Pesa
Create PIN,Crear PIN
Create and load a new prepaid card,Crear y cargar una nueva tarjeta prepagada
Create and preload a new gift card,Crear y precargar una nueva tarjeta de regalo
Create or change your PIN,Crea o cambia tu PIN
Create return from invoice,Crear devolución desde la factura
Current PIN,PIN actual
Current redeemable value on the gift card,Valor canjeable actual en la tarjeta de regalo
Customer Credit Return Active,Devolución de crédito de cliente activa
Customer Group,Grupo de clientes
Customer display was blocked. Please allow pop-ups for this site.,Se bloqueó la pantalla del cliente. Permite las ventanas emergentes para este sitio.
Customer-facing tools and printer setup.,Herramientas de cara al cliente y configuración de impresora.
Daily cashier actions without scrolling.,Acciones diarias del cajero sin desplazarse.
Delete cancelled cash movement {0}?,¿Eliminar el movimiento de efectivo cancelado {0}?
Delete draft invoice,Eliminar factura borrador
Delete draft invoice {0}?,¿Eliminar la factura borrador {0}?
Delete offline invoice,Eliminar factura fuera de línea
Delivered,Entregado
Delivery Charges Rate,Tarifa de cargos de entrega
Delivery Note {0} created,Nota de entrega {0} creada
Delivery note created,Nota de entrega creada
Deployed Bundle:,Paquete desplegado:
Disable offline mode first to recheck live connectivity.,Desactiva primero el modo fuera de línea para verificar la conectividad en vivo.
Discount clarity,Claridad del descuento
Draft source,Origen del borrador
Due {0},Vence {0}
Edit Gift Application,Editar aplicación de tarjeta de regalo
Edit customer,Editar cliente
Email,Correo electrónico
Employee,Empleado
Enter a PIN.,Ingresa un PIN.
Enter the cashier PIN to continue.,Ingresa el PIN del cajero para continuar.
Enter the current PIN first.,Ingresa primero el PIN actual.
"Enter the current PIN, then choose a new one.",Ingresa el PIN actual y luego elige uno nuevo.
Error submitting invoice: No response from server,Error al enviar la factura: Sin respuesta del servidor
Error submitting invoice: {0},Error al enviar la factura: {0}
Expand item details,Expandir detalles del artículo
Failed to load QZ telemetry,No se pudo cargar la telemetría de QZ
Failure rate,Tasa de fallos
Failures,Fallos
Fast cashier actions for active shifts.,Acciones rápidas del cajero para turnos activos.
Fetch HTML,Obtener HTML
Fetch the latest offline prerequisite updates,Obtener las últimas actualizaciones de prerrequisitos fuera de línea
Find a sales order quickly and load it into the current sale.,Encuentra una orden de venta rápidamente y cárgala en la venta actual.
From:,Desde:
Gain,Ganancia
Generate a fresh prepaid card and start it with an opening balance.,Genera una nueva tarjeta prepagada e iníciala con un saldo de apertura.
Generate and install the certificate to allow fully silent printing without trust prompts.,Genera e instala el certificado para permitir impresión totalmente silenciosa sin avisos de confianza.
Generated scale barcode: {0},Código de barras de báscula generado: {0}
Gift Card,Tarjeta de regalo
Gift Card Applied,Tarjeta de regalo aplicada
